numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
0,13416,7224,-1844,-5074,-1861,-742
1,8944,8276,-13540,-32768,-3820,10517
2,13872,5896,4064,-32768,-7613,8302
3,19524,6780,8488,-17424,4220,-14075
4,14516,4576,3516,32767,-6649,-26170
5,13576,-3592,-14516,-3039,-984,11531
6,13652,7732,3416,10762,-2114,-5998
7,14924,9076,-692,-14561,-2473,-6012
8,14560,5232,3020,-11057,-1687,1732
9,14676,12468,5136,29567,5233,11906
10,12760,8384,7420,-32768,11754,3370
11,19988,9376,7880,18219,24102,15315
12,18908,8188,6952,6589,28275,6073
13,19744,5896,1172,-8197,32767,-1990
14,13348,6768,-6048,22648,20870,8513
15,15776,9808,2604,3225,-15375,-2328
16,10468,1276,13900,6661,-8211,-7087
17,10152,5340,9332,15487,8018,9102
18,10180,9800,2632,7076,2058,2976
19,12404,7548,2068,9752,-14584,2409
20,13552,2944,7420,12770,-19084,4779
21,18176,9808,5472,13411,2514,14538
22,13704,12156,4276,1049,6346,2575
23,12680,6748,596,-6761,2070,-4098
24,13236,3544,1896,-3563,-6664,2784
25,14256,5624,2384,3792,-15030,4593
26,17772,10404,6984,4123,-8962,745
27,17416,8700,5860,-3202,4220,-7698
28,15452,5404,4808,3061,9894,-8251
29,18796,8372,8856,7480,12124,-6761
30,16456,9432,7344,6445,27325,-20474
31,18496,8220,11000,-6218,32767,-27364
32,18684,5048,12532,-6241,32767,-25929
33,5868,744,-1692,1552,32767,-10838
34,2068,420,-5208,10199,10606,21554
35,8016,6676,-1140,15744,-16031,32767
36,10584,12828,5120,15737,-26985,32767
37,16780,23620,12548,13185,-32768,32767
38,17224,22696,9608,-5411,3543,-12222
39,14204,7172,6260,1788,20309,-22203
40,17280,16612,10364,8237,21703,3396
41,12880,17396,3396,10148,28036,-32653
42,14296,21576,9156,8795,-1947,-32768
43,17428,16960,7364,22747,11275,-32768
44,8012,22536,692,32767,-81,-32768
45,4812,-4468,-8320,32767,-32768,-32768
46,-7188,8792,16512,354,-32768,-3814
47,256,6440,12208,32767,5527,-22072
48,-16528,5252,4336,-1446,-3422,-7513
49,-12084,3548,9072,783,-12447,-11826
50,-8420,-5672,8956,31116,-13378,6553
51,-3128,1148,8468,27854,5015,32767
52,-1728,5112,-2412,15189,29045,32767
53,6996,15088,-15080,29407,32521,32767
54,1916,31148,-9112,27261,25049,32767
55,10348,22656,-9112,3119,2999,24608
56,12468,10500,-8476,-32768,-2548,4518
57,9896,9228,-4240,-16413,-19386,22542
58,15396,12036,-5144,-21445,-10860,26553
59,12056,18396,2696,-13297,-15591,27184
60,14136,17156,3896,-17723,-8129,-12
61,13904,8160,6384,-26616,5028,-21188
62,19096,3576,220,-24571,16272,-3204
63,10096,7628,1780,-1712,4202,9203
64,17588,9316,-1148,-1497,-4122,4876
65,9904,6824,-484,-17191,-6706,4864
66,10788,9520,-540,-32768,-18539,24690
67,20600,10828,-2924,28292,-32768,32767
68,14024,15460,-56,-2811,-20513,32767
69,17172,12756,104,-15083,-2604,12335
70,16116,7948,364,-23626,13586,-22692
71,20228,1172,-964,-27449,29843,-21516
72,18084,-1584,-4236,-12036,30933,-10021
73,15632,-1300,-8472,-20513,13973,9
74,23416,56,-8572,-544,-32768,7637
75,19988,6532,-1404,994,-32768,8151
76,12132,-13676,-1336,32767,9760,-30028
77,17732,2984,-72,28778,371,-9905
78,9724,3096,-632,31538,-23512,17187
79,16320,8208,1780,-8902,-28348,12625
80,16880,9816,3812,27240,-14063,3166
81,22852,11552,-4000,9318,32767,-25413
82,25324,5436,-10492,-4282,32767,-32768
83,11884,8,-16796,-14869,28195,-30760
84,11636,5160,-5844,32767,-30668,14154
85,15084,7592,-8188,-32768,-32768,6199
86,27176,-4476,4604,32767,-32768,-8857
87,11064,10984,13556,-31289,900,16329
88,17392,9308,-2068,-32768,16357,27786
89,13184,21640,-1372,20063,9275,7774
90,10192,17108,-4620,-12411,25408,-18409
91,14424,6636,-4940,-17838,31053,-22569
92,10984,3360,-5852,-67,18525,1137
93,16956,6872,-2900,12542,-19681,19982
94,12116,11504,-2600,8609,-21562,13344
95,6408,5872,-28440,-32768,4085,-736
96,20720,9552,-1988,8664,-32768,17864
97,16860,12260,1024,21511,-30853,10655
98,8676,2220,-4536,6233,-5769,1064
99,11744,3068,-32768,9892,-32768,32767
100,9548,-12700,-15660,-1304,-16564,-18899
101,14492,-3216,-1348,12080,-30594,-1155
102,376,-5644,-32640,28310,-32429,22460
103,2748,6688,6616,-2532,-13699,355
104,4016,-14668,-32768,3873,14147,12350
105,3120,10792,-7760,-32768,-30071,18203
106,-2916,-764,-13736,-16499,-653,-7125
107,6564,-10636,-26336,4523,-13641,-2575
108,-3836,8300,-10864,-32768,-32768,32767
109,1148,16420,-2228,-7624,-32768,515
110,-4552,13528,380,-17110,-6442,-17126
111,-5724,12636,-2448,-16418,18576,-32768
112,-3336,17888,-3992,-32768,13775,-27031
113,-1764,8672,-1504,-1442,29366,-32768
114,-5492,2888,-14588,-32768,32767,-32768
115,2668,-19412,-17972,27040,32767,-32768
116,-1304,-17176,-32768,32767,32767,-32768
117,-1192,4196,-4416,-32768,-23767,15522
118,-4684,-11496,-11988,-32768,4768,-7286
119,-2632,8180,-11852,-32768,-5401,13341
120,-1912,1392,-5568,-17458,-5205,16975
121,-2228,11136,-10520,-14948,3583,9183
122,-804,11956,-12740,-11845,-1534,28124
123,3424,10252,-8816,-26718,-2255,22976
124,4952,18768,-10476,-32586,-9309,15527
125,3196,18792,-6144,2944,-2073,31048
126,7264,8644,-6420,32767,19446,2563
127,7040,6956,-15216,11326,24989,31235
128,16920,10652,-11552,10094,10602,3927
129,8136,7852,-10132,-4395,-7234,-6013
130,7716,7844,-9904,-349,-5482,-7990
131,4372,14292,-13356,287,1940,-824
132,14580,5796,-7508,-7702,5793,14549
133,8512,8384,-6524,14753,3351,11447
134,10060,2308,-14940,-16176,-1284,6951
135,12252,6768,-8704,4828,-3934,6408
136,11164,5992,-9224,3895,4380,6188
137,9508,11004,-9112,32767,19030,12327
138,9244,6508,-15656,-11972,7114,5962
139,15464,7000,-11644,-5964,3405,10733
140,4156,3244,-12136,13748,-5956,7761
141,6768,3092,-9920,-7423,-8811,-5047
142,10896,5080,-11292,-581,-1962,1147
143,10584,5872,-10396,3735,-5576,1202
144,9212,5624,-12068,4231,-8901,-4094
145,9060,6180,-14000,10850,-5063,-330
146,7696,4972,-12816,12177,-11493,-2060
147,8144,3284,-14616,7429,-8812,-5204
148,6388,2748,-13516,5829,-5674,-2092
149,6884,3204,-15180,1347,-6553,-2406
150,6164,2760,-14628,1272,-3977,1487
151,5284,2544,-14724,1241,-2877,947
152,5872,2932,-14580,-1440,-961,839
153,4000,2204,-14032,1371,-3049,-501
154,5344,3532,-15036,-340,-2244,-1888
