numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
53,13588,4176,8680,16431,1690,6122
54,12392,4528,5776,32767,2066,16319
55,20692,5292,5612,32767,-6285,13529
56,15832,10552,8804,16592,6352,7499
57,14528,4456,4036,1598,14056,1570
58,14748,3300,4644,5235,5139,4254
59,14828,3716,7128,8028,1688,6042
60,15244,5192,7372,8733,10014,6227
61,15172,3604,6824,2459,5990,2441
62,15328,5928,6544,9538,2525,3640
63,14380,5136,5444,10987,2072,2721
64,14816,4324,7996,4510,1953,2018
65,14468,4860,7704,4960,4564,4413
66,14288,3896,5800,2141,2783,-150
67,15264,5268,8452,1226,3354,3886
68,15356,4644,8092,2326,4504,-129
69,15136,4732,7024,-1976,2770,315
70,14256,2940,7792,-6954,725,3909
71,12744,3004,8248,1567,2313,4622
72,15572,1972,8940,2774,3285,4152
73,13964,2760,6704,1073,-396,7614
74,13608,4560,8480,3473,-286,3741
75,14708,4536,7668,4952,-886,-886
76,14676,4016,8840,5218,-407,-881
77,13708,1832,7896,2528,-375,-508
78,14272,4596,6732,1123,205,1179
79,16752,2148,10216,456,1036,903
80,13460,4248,6588,3264,2226,151
81,14084,2684,7400,7990,-963,65
82,15472,4496,8832,10335,665,-1190
83,13912,5760,6536,11136,1902,-589
84,13688,3244,7044,4156,-95,-2015
85,16172,3920,8656,-3445,1328,-63
86,13944,4816,6620,-3253,3894,2549
87,15948,3040,9328,-2967,3439,383
88,15424,3324,8568,-8593,4055,5730
89,14492,6592,8176,-2531,1367,-2111
90,14832,5844,9420,-2999,2662,-3400
91,11788,3500,9008,-1538,1568,-210
92,9528,4216,7388,3634,-4028,1075
93,13968,1888,9952,2363,-8424,4078
94,14064,6632,8120,-2766,-3287,3910
95,14228,3696,5980,-3370,-6366,1648
96,15000,3948,6208,-3142,-7332,3110
97,13932,716,5756,-3420,-11610,4618
98,17876,1128,7200,-620,-10905,3993
99,13900,2952,2536,-3260,-13213,-309
100,16172,-760,1104,-3087,-20285,270
101,17352,2984,832,-101,-25861,4634
102,15292,4092,-1188,2691,-8068,-5550
103,16152,1364,-2820,1384,-7629,-18085
104,16920,-1716,-3236,2554,-7406,-6795
105,15112,2832,-2988,-647,-3133,1685
106,14680,4044,-3680,1696,-1892,-4207
107,16412,1412,-3816,-1690,-1439,3283
108,16524,4176,-3944,-3217,-2499,8819
109,14624,4868,-3392,-459,248,-998
110,16716,2056,-3928,-1999,-260,2589
111,16328,3960,-3760,-1130,-770,4896
112,15464,4672,-3832,1767,1077,-2316
113,16672,1664,-4696,-1367,-214,647
114,15364,1704,-3748,863,970,4638
115,15800,2968,-4676,1286,557,-764
116,16872,2136,-3496,-1271,165,-2522
117,14748,1980,-4948,7688,8153,2441
118,15024,1824,-4444,1420,469,-1057
119,14744,1352,-964,1078,10482,-10306
120,15484,-704,-952,-12312,8530,-2076
121,14740,1536,-3224,-16220,14807,5347
122,16940,3324,480,-22841,6766,1677
123,16896,2496,2616,-12936,16197,-10784
124,15352,6348,6904,-30515,31768,-4593
125,12564,3588,1972,-32768,22693,-6787
126,16516,2776,5556,-23128,11830,-15541
127,15720,-1240,9780,-14460,4644,8175
128,11896,-36,4460,-6741,6716,8336
129,13284,-608,12020,486,-1587,1596
130,17748,-1156,13648,-4036,-7845,8432
131,15048,-3704,3404,-31394,-32768,28124
132,20792,4436,18696,-2266,-26708,2695
133,17876,-2304,7224,9778,-472,8724
134,17136,1512,5164,11488,3277,6687
135,18664,-3020,4952,3848,212,599
136,15476,-2164,3280,-998,2160,-560
137,18656,-3172,5440,2629,-72,-3115
138,20388,-2440,8348,2770,20596,-8842
139,21624,4268,13520,21605,32767,-30609
140,19092,4952,9752,19768,32767,-32768
141,24484,-19896,-1324,-12902,32767,-19954
142,-756,7296,9872,6106,32767,456
143,-3880,-3420,4812,6694,27948,-7536
144,-1816,-2700,10572,3180,3992,6366
145,-5612,-116,12100,-3738,-14876,7021
146,-4424,780,10508,-7287,-19286,18337
147,4260,-3360,11236,-14010,-32768,24049
148,8812,4300,26192,-9872,-18343,25988
149,8596,-4760,15192,-5149,-6117,28724
150,8592,2372,25108,3602,-5001,20611
151,5060,-392,15720,4613,12477,15492
152,4728,1108,15664,7048,185,12333
153,4292,5960,20280,10422,9737,5221
154,3272,3064,14072,3116,3884,-1221
155,4244,7472,13220,7541,-17343,-13744
156,7140,14660,11356,5457,-32768,-23828
157,15548,7612,13388,-24936,-26029,-32768
158,15160,-480,3908,-23938,-29918,-11781
159,13200,7616,7892,-32768,-19997,-32768
160,16940,-4852,6484,-27085,-32768,-32768
161,16836,-212,10240,-12675,-32768,-6658
162,17724,2860,9296,-3462,-22191,-7997
163,17696,5432,6792,1795,-13402,-10952
164,23984,12112,20240,-778,-518,-8762
165,26688,15160,15404,-25370,32767,-24834
166,18828,4736,-1852,5769,32767,-17580
167,4212,21576,15976,12441,32312,-25236
168,11088,8916,9264,-6015,32767,-32768
169,2792,-3520,5904,-8553,22097,-25871
170,-3416,2728,11092,-15135,13203,-10908
171,-964,-3024,7736,-27832,32767,-7947
172,-17412,1116,-448,-32768,32767,1003
173,-14848,-244,2828,-2490,-14056,14603
174,-11204,4076,11200,-1010,-5564,5863
175,-7704,3432,12516,4345,11922,12916
176,-15528,-4476,9000,2452,-11462,26591
177,-7860,6808,3888,-8726,-5674,32767
178,-10148,2136,3476,11004,-32768,32767
179,2464,15528,6504,32767,-32768,25140
180,9656,15368,-464,32767,-32768,21879
181,12088,15948,-2352,9365,-32768,21305
182,16964,26720,14188,634,-32768,16699
183,8016,10272,-2504,2584,-20508,-1437
184,16008,13200,-7568,-1686,-26822,8972
185,13220,5148,-17892,1057,-32768,15989
186,13960,11228,-8008,-2232,-32768,15372
187,13200,7276,-4552,-13447,-20360,9221
188,12588,10532,-12616,14562,-7049,11661
189,7140,2688,-3608,9035,-12925,-391
190,10304,6628,-10384,-6736,7150,27062
191,8484,5028,-14352,20851,-4502,8756
192,13672,2608,-15180,32767,-10065,15561
193,13592,3400,-19484,13878,-2370,3633
194,16696,2416,-18444,9890,-12113,7765
195,11228,4584,-15828,-3953,-23223,19333
196,13496,-636,-17764,8957,-12919,9209
197,5076,-1172,-17860,8993,-32768,5224
198,5676,-7260,-14752,-23202,-32768,-2336
199,-2692,688,708,-25794,-15573,-21300
200,-112,-8532,-7304,-2686,-4163,-156
201,-3720,420,-9916,-6399,6511,3220
202,-740,2836,-10324,-3854,13891,7507
203,788,-168,-12284,4649,16479,9034
204,160,2292,-7756,-13822,17777,-351
205,9960,5184,4768,-1983,32767,-12956
206,29904,1376,-14408,32767,32767,-10774
207,32767,-10040,-32768,32767,32767,6856
208,17464,-596,-21236,-15438,31413,9349
209,16600,5996,-17704,-1588,-5820,-23441
210,17520,-2764,-16400,5629,622,2120
211,15812,652,-664,-19487,-5273,17630
212,18284,7436,-9628,-6573,-6672,-9991
213,16380,1760,-7596,-13160,-15318,-2627
214,9960,-1304,-748,11817,-10820,-9869
215,9608,-5220,-14688,27283,-3846,-6923
216,14292,-3708,-6392,32365,-4707,4100
217,13864,-4424,-9860,15231,2195,6884
218,16140,-600,-15108,20679,17108,11801
219,15116,-2000,-10172,23412,2859,1510
220,14772,-5232,-5996,7352,6958,-3240
221,14368,-4404,-3828,-1760,1782,1448
222,15100,-5396,-5688,-15161,12014,-4983
223,14836,1232,-17916,-32768,-8563,5043
224,11672,-7792,10644,-32768,-8227,6659
225,19880,8888,-11228,4460,10587,-3598
226,12040,-4492,-8332,3124,11269,-3115
227,13784,1904,-6628,-1916,-4828,521
228,16440,4868,-10200,-1188,4855,-4750
229,15120,5256,-3264,-6877,6563,-1247
230,14264,3508,-8084,-20912,5104,556
231,14756,-808,-7936,-7114,-5102,-632
232,16264,2388,-4904,6075,-1336,-1433
233,13824,920,-6036,-1937,2378,-2488
234,14988,1024,-5384,8606,-1916,-192
235,16420,5056,-3712,4303,2316,-941
236,14848,2992,-7060,1293,-1792,264
237,15896,2216,-6476,1554,-1488,-2073
238,14952,148,-6876,-498,165,-804
239,16092,1776,-7316,425,222,-137
240,15448,1580,-5736,-168,35,1691
241,16172,2220,-7788,517,3640,32
242,15264,2356,-5956,-657,3055,-904
243,15792,3004,-5488,-1267,1291,-152
244,15392,1924,-6400,570,1962,393
245,15848,2648,-5820,-1465,1736,814
246,14984,1724,-5760,-1212,2224,348
247,15248,2184,-5276,-365,799,-767
248,14800,2356,-4584,-1287,1967,-721
249,14568,2260,-4544,-680,1221,-645
250,15356,2460,-4408,-1316,1646,-240
251,15008,2028,-4440,-795,171,436
252,15156,2408,-4776,-551,1376,-302
253,14444,2120,-4300,-603,684,457
254,15040,2616,-4476,-196,459,-158
