numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
0,8160,11756,8988,-3347,-1033,-424
1,7776,10724,9572,-1432,-722,993
2,8776,9652,11292,-1202,-409,1075
3,8268,11280,9856,-319,-302,-531
4,8436,9652,10376,-486,-470,-303
5,8212,10896,9988,-374,365,-608
6,8160,10928,10400,-368,296,-628
7,9004,10580,9908,-484,-39,283
8,8076,10876,9592,-797,-968,1108
9,8552,10304,9652,-1363,-232,1997
10,8624,11140,9988,-1972,162,2121
11,8712,8136,11880,-3165,-840,2703
12,9472,9492,10552,-2725,-206,3342
13,9932,9100,10836,-771,-2354,3959
14,10216,10172,11904,-442,-2196,4137
15,8916,8476,10616,1006,-344,3557
16,11100,7176,9676,1911,-2265,3560
17,7804,10844,10652,-99,-777,4659
18,13272,6404,11212,-13866,-5337,6097
19,12760,9180,9972,1129,990,-2624
20,9148,11480,10804,2601,-1326,-7552
21,13284,3844,10820,-16743,-2500,3678
22,11520,6412,9116,-1884,2989,2188
23,12756,8608,10652,-9433,3357,-514
24,7292,7432,11968,-9420,5272,-178
25,8444,6048,14472,-27829,-15591,11833
26,17180,5948,7908,32767,1519,-5737
27,4240,10040,2160,-733,2191,-4059
28,8536,4796,17352,25267,-248,8752
29,13468,10848,-1292,23113,-3508,-7638
30,13772,13728,7428,-11766,1821,-262
31,2464,8252,21884,32767,-3487,9574
32,16048,13140,-268,6022,-10985,4099
33,10160,9348,2872,24667,1513,5932
34,16460,10344,-6440,32767,1446,13835
35,11952,7808,1932,3075,4968,8658
36,14172,13356,3252,-3991,11270,-225
37,13196,10912,2148,512,11626,-950
38,12876,9176,2968,-12743,8721,-6134
39,13172,6088,1476,-4776,7732,343
40,13816,11256,3464,4457,-5369,8561
41,16628,11736,5080,-10676,3330,-2944
42,10344,4176,6680,-1468,10578,6627
43,12124,9868,3980,17104,6122,9606
44,11352,9168,5088,-664,7029,5238
45,14400,6700,5424,6403,6625,5724
46,15684,12316,7040,-154,7544,7025
47,12496,9220,6556,-15507,12185,-4913
48,15504,5544,6740,-11055,7368,-1351
49,12348,5292,7624,-6592,-9318,3511
50,11856,6704,10604,2407,-2818,6934
51,13608,5564,8872,-5007,2511,5179
52,13260,2320,8212,4657,-4724,9838
